ID, time, latitude, longitude, altitude, ang_pos, speed, friction
14, 0.00000, 40.86181843, -77.83636575, 330.00133720, 4.81487018, 4.96642, -2.40228
21, 0.00000, 40.86166846, -77.83633918, 329.99533845, 4.17180733, 3.84564, -1.88168
29, 0.00000, 40.86154438, -77.83605015, 329.99037535, 2.83044276, 6.76353, 3.04383
1, 0.01000, 40.86202023, -77.83620264, 330.00940938, 5.95469541, 0.51131, 0.72261
13, 0.02000, 40.86185241, -77.83635874, 330.00269626, 4.98283147, 2.94658, -1.00563
16, 0.02000, 40.86180064, -77.83636751, 330.00062557, 4.82345916, 0.40698, -1.51744
22, 0.02000, 40.86162097, -77.83630666, 329.99343866, 4.00873903, 0.42820, 0.67940
31, 0.02000, 40.86157461, -77.83598296, 329.99158430, 2.62148883, 4.68638, 3.36441
22, 0.07000, 40.86162099, -77.83630668, 329.99343952, 3.97195433, 0.47806, 0.48769
26, 0.08000, 40.86156274, -77.83623246, 329.99110957, 3.61453550, 0.14698, 0.92949
32, 0.08000, 40.86167077, -77.83589562, 329.99543085, 2.04990719, 9.75296, 3.94259
31, 0.09000, 40.86157439, -77.83598330, 329.99157556, 2.62541180, 4.57917, 3.50650
39, 0.10000, 40.86188692, -77.83588972, 330.00407685, 1.14429409, 3.89378, 4.24288
13, 0.11000, 40.86185273, -77.83635865, 330.00270921, 5.00578093, 3.02825, -0.38443
2, 0.12000, 40.86201347, -77.83621949, 330.00913899, 5.89147157, 3.23305, -1.13310
11, 0.12000, 40.86188400, -77.83634756, 330.00396003, 5.01859950, 2.39420, -1.12363
2, 0.13000, 40.86201349, -77.83621945, 330.00913965, 5.81040298, 3.23904, 3.31147
25, 0.13000, 40.86157105, -77.83624732, 329.99144185, 3.78656375, 3.41309, 0.92926
21, 0.14000, 40.86166907, -77.83633949, 329.99536268, 4.27705041, 3.97120, 0.54542
21, 0.15000, 40.86166911, -77.83633952, 329.99536444, 4.35015597, 3.98012, -0.76666
14, 0.17000, 40.86181949, -77.83636561, 330.00137953, 4.79533602, 5.08636, -1.33849
15, 0.17000, 40.86180656, -77.83636707, 330.00086252, 4.76714527, 2.48926, -0.12640
25, 0.17000, 40.86157113, -77.83624747, 329.99144537, 3.68304634, 3.38308, 1.25140
18, 0.18000, 40.86177096, -77.83636761, 329.99943836, 4.69113422, 7.97792, 0.11826
21, 0.19000, 40.86166929, -77.83633961, 329.99537152, 4.15448803, 4.01576, 2.32562
33, 0.19000, 40.86174350, -77.83587147, 329.99834001, 1.76701219, 4.39643, 5.42435
13, 0.20000, 40.86185306, -77.83635856, 330.00272250, 4.89055368, 3.10929, -3.35780
21, 0.20000, 40.86166933, -77.83633963, 329.99537330, 4.25368729, 4.02465, -2.17501
25, 0.20000, 40.86157120, -77.83624757, 329.99144799, 3.76077006, 3.36086, 0.86036
