ID, time, latitude, longitude, altitude, ang_pos, speed, friction
243, 0.00000, 40.86160245, -77.83594719, 329.99269819, 2.34217800, 4.80298, 1.27822
269, 0.00000, 40.86169183, -77.83588601, 329.99627304, 1.95319265, 3.44958, 2.68559
320, 0.00000, 40.86185764, -77.83587879, 330.00290558, 1.16130136, 3.65361, 2.21650
143, 0.03000, 40.86161530, -77.83630158, 329.99321194, 4.12104468, 6.37077, 2.19889
294, 0.03000, 40.86176378, -77.83586890, 329.99915102, 1.57210739, 8.72276, 2.10081
376, 0.03000, 40.86201290, -77.83601523, 330.00911604, 0.22872925, 7.02586, 2.33801
282, 0.05000, 40.86173268, -77.83587354, 329.99790732, 1.76785334, 6.03588, 1.88296
398, 0.05000, 40.86203474, -77.83610664, 330.00998967, 0.09862404, 2.02488, 2.32261
98, 0.06000, 40.86180163, -77.83636745, 330.00066509, 4.82958914, 4.76427, 2.70173
222, 0.06000, 40.86155134, -77.83602911, 329.99065352, 2.71268064, 0.77697, 2.80959
65, 0.07000, 40.86193034, -77.83632141, 330.00581363, 5.26180210, 1.47985, 2.15817
349, 0.07000, 40.86196024, -77.83593970, 330.00700965, 0.92365911, 0.58920, 1.46687
239, 0.08000, 40.86159272, -77.83595823, 329.99230868, 2.38953303, 8.54795, 3.16912
184, 0.09000, 40.86154369, -77.83618335, 329.99034772, 3.42090446, 3.81874, 3.74745
7, 0.10000, 40.86203377, -77.83614282, 330.00995060, 6.28198656, 2.55864, 1.90709
254, 0.10000, 40.86162980, -77.83592201, 329.99379195, 2.32588753, 8.71023, 1.56067
174, 0.11000, 40.86155963, -77.83622621, 329.99098533, 3.62060171, 6.00684, 1.89527
228, 0.11000, 40.86156477, -77.83599968, 329.99119084, 2.46807797, 4.35129, 2.72459
336, 0.12000, 40.86191111, -77.83590214, 330.00504444, 1.12677725, 1.91033, 1.91407
56, 0.13000, 40.86195362, -77.83630258, 330.00674472, 5.35138520, 7.73189, 2.11224
168, 0.13000, 40.86156569, -77.83623801, 329.99122759, 3.43586034, 1.08347, 4.79944
215, 0.13000, 40.86154256, -77.83605699, 329.99030235, 2.81070481, 2.70352, 2.64594
381, 0.13000, 40.86201913, -77.83603035, 330.00936519, 0.23007197, 5.66939, 2.13024
29, 0.14000, 40.86202000, -77.83620329, 330.00939999, 5.86226259, 2.25981, 2.43001
225, 0.14000, 40.86155760, -77.83601414, 329.99090388, 2.76347158, 7.27050, 1.91388
164, 0.15000, 40.86157301, -77.83625051, 329.99152037, 3.66198580, 4.36488, 2.36632
143, 0.16000, 40.86161603, -77.83630225, 329.99324109, 3.99106825, 5.82288, 2.17371
187, 0.16000, 40.86154262, -77.83617926, 329.99030483, 3.48387171, 3.93392, 2.92641
