ID, time, latitude, longitude, altitude, ang_pos, speed, friction
121, 0.00000, 40.86172763, -77.83636133, 329.99770503, 4.58521259, 4.24255, 1.44967
215, 0.00000, 40.86153500, -77.83611792, 329.99000000, 3.06645241, 7.26258, 1.97102
21, 0.01000, 40.86202298, -77.83619459, 330.00951919, 5.91489911, 5.52354, 0.88150
27, 0.01000, 40.86201083, -77.83622525, 330.00903309, 5.89041569, 9.32238, 2.18010
85, 0.01000, 40.86186116, -77.83635612, 330.00304623, 4.98520571, 3.36699, 1.24206
100, 0.01000, 40.86180417, -77.83636726, 330.00076699, 4.71599082, 7.18720, 2.31885
130, 0.01000, 40.86168788, -77.83634836, 329.99611525, 4.39472871, 5.94256, 1.85899
58, 0.02000, 40.86195807, -77.83629841, 330.00692286, 5.49013949, 0.53865, 2.00266
101, 0.02000, 40.86179832, -77.83636765, 330.00053264, 4.67378588, 6.24720, 1.86278
236, 0.02000, 40.86155420, -77.83602193, 329.99076789, 2.83205510, 7.35631, 1.72739
61, 0.03000, 40.86195002, -77.83630580, 330.00660062, 5.49768770, 5.60554, 1.82836
87, 0.03000, 40.86185379, -77.83635835, 330.00275168, 4.92104166, 8.33865, 0.69577
184, 0.03000, 40.86155395, -77.83621348, 329.99075803, 3.37708810, 7.88072, 2.06037
187, 0.03000, 40.86155075, -77.83620532, 329.99062981, 3.61115363, 8.15946, 2.08150
328, 0.03000, 40.86188034, -77.83588689, 330.00381371, 1.04609786, 2.71123, 1.76953
343, 0.03000, 40.86191085, -77.83590198, 330.00503386, 1.02965763, 0.75719, 2.36316
30, 0.04000, 40.86200716, -77.83623265, 330.00888637, 5.83877882, 6.12868, 2.08281
118, 0.05000, 40.86173922, -77.83636377, 329.99816898, 4.46535068, 1.65598, 3.11037
164, 0.05000, 40.86158655, -77.83627005, 329.99206217, 3.78300730, 7.80979, 3.39617
381, 0.05000, 40.86202444, -77.83604612, 330.00957777, 0.28276116, 0.26177, 0.85010
168, 0.06000, 40.86158454, -77.83626739, 329.99198164, 3.82012818, 5.95288, 2.07568
176, 0.06000, 40.86156636, -77.83623923, 329.99125447, 3.66229874, 3.67112, 1.72702
30, 0.07000, 40.86200726, -77.83623245, 330.00889051, 5.77156580, 5.90095, 2.14600
315, 0.07000, 40.86185166, -77.83587705, 330.00266625, 1.39960240, 7.76673, 4.24489
31, 0.08000, 40.86200585, -77.83623516, 330.00883392, 5.95343309, 1.74900, 2.09870
96, 0.08000, 40.86181016, -77.83636673, 330.00100637, 4.86345749, 1.04752, 2.79059
155, 0.08000, 40.86160590, -77.83629242, 329.99283585, 3.85928219, 2.07506, 5.08913
58, 0.09000, 40.86195811, -77.83629837, 330.00692430, 5.43694891, 0.60109, 2.13008
292, 0.09000, 40.86173086, -77.83587393, 329.99783430, 1.96661166, 6.53239, 0.64454
328, 0.09000, 40.86188016, -77.83588682, 330.00380623, 1.04398714, 2.68571, 1.99019
2, 0.10000, 40.86203494, -77.83612337, 330.00999770, 6.16413661, 6.46400, 2.18057
11, 0.10000, 40.86203118, -77.83616156, 330.00984707, 6.10298768, 1.04650, 3.12946
50, 0.10000, 40.86196944, -77.83628677, 330.00737743, 5.41828066, 6.24050, 3.38303
80, 0.10000, 40.86186836, -77.83635369, 330.00333421, 4.91527705, 5.01174, 2.12367
117, 0.10000, 40.86174230, -77.83636433, 329.99829209, 4.48008839, 0.15373, 1.92474
351, 0.10000, 40.86194400, -77.83592508, 330.00635992, 0.91746460, 6.52880, 2.31520
31, 0.11000, 40.86200588, -77.83623510, 330.00883516, 5.84505880, 1.76841, 2.09620
333, 0.11000, 40.86189309, -77.83589257, 330.00432351, 1.03571229, 3.17998, 2.42945
177, 0.13000, 40.86156622, -77.83623898, 329.99124882, 3.65791502, 2.66428, 1.87585
269, 0.13000, 40.86166502, -77.83589867, 329.99520070, 1.94062779, 4.30161, 1.27079
374, 0.14000, 40.86201599, -77.83602238, 330.00923957, 0.41632874, 7.44421, 2.66717
217, 0.15000, 40.86153507, -77.83611189, 329.99000298, 3.11580575, 5.54570, 1.52005
312, 0.16000, 40.86183804, -77.83587369, 330.00212152, 1.40489940, 3.14972, 2.18472
149, 0.17000, 40.86161891, -77.83630486, 329.99335654, 3.90142644, 8.08752, 1.68049
120, 0.18000, 40.86173528, -77.83636301, 329.99801101, 4.30675356, 1.27829, 2.81066
285, 0.18000, 40.86171729, -77.83587734, 329.99729154, 1.91931835, 2.81377, 2.69665
61, 0.19000, 40.86195072, -77.83630518, 330.00662877, 5.55897524, 3.99555, 3.03420
103, 0.19000, 40.86179560, -77.83636777, 330.00042419, 4.86993724, 1.96329, 2.98320
24, 0.20000, 40.86201331, -77.83621985, 330.00913249, 5.89437313, 6.72557, 2.07113
53, 0.22000, 40.86196886, -77.83628740, 330.00735437, 5.52960402, 4.52170, 2.16486
168, 0.22000, 40.86158520, -77.83626826, 329.99200782, 3.83112758, 4.98551, 2.48703
205, 0.22000, 40.86153730, -77.83615184, 329.99009205, 3.31046400, 5.87938, 3.99433
232, 0.22000, 40.86154706, -77.83604128, 329.99048257, 2.74346904, 6.72014, 2.40429
299, 0.22000, 40.86179540, -77.83586822, 330.00041616, 1.58447823, 4.96033, 0.30666
27, 0.23000, 40.86201168, -77.83622344, 330.00906717, 5.74532844, 5.78933, 3.08200
102, 0.23000, 40.86179940, -77.83636759, 330.00057588, 4.79916350, 4.90779, 2.20636
319, 0.23000, 40.86185948, -77.83587935, 330.00297931, 1.25461072, 3.51474, 3.02098
338, 0.23000, 40.86189767, -77.83589483, 330.00450684, 0.89117362, 3.22809, 3.36111
156, 0.24000, 40.86160533, -77.83629183, 329.99281316, 3.85865825, 1.99610, 1.81100
265, 0.24000, 40.86165219, -77.83590620, 329.99468757, 2.14666408, 3.90272, 1.85173
91, 0.25000, 40.86183764, -77.83636239, 330.00210579, 4.97886385, 5.79114, 1.27807
232, 0.26000, 40.86154696, -77.83604159, 329.99047848, 2.86431065, 6.62650, 2.20413
295, 0.26000, 40.86175329, -77.83587002, 329.99873157, 1.69389624, 4.38115, 2.63816
202, 0.27000, 40.86153815, -77.83615754, 329.99012584, 3.26914740, 5.89067, 2.43831
226, 0.27000, 40.86154239, -77.83605767, 329.99029555, 2.80671075, 3.62398, 2.65391
255, 0.27000, 40.86162577, -77.83592526, 329.99363099, 2.37217798, 4.71119, 2.70403
285, 0.27000, 40.86171699, -77.83587743, 329.99727941, 1.73216455, 2.78572, 1.68040
365, 0.28000, 40.86198571, -77.83596895, 330.00802840, 0.69552701, 4.69834, 1.05909
18, 0.29000, 40.86202599, -77.83618451, 330.00963965, 6.03133149, 4.69255, 2.41889
276, 0.29000, 40.86168574, -77.83588855, 329.99602967, 1.96118146, 2.95932, 2.20070
388, 0.29000, 40.86202930, -77.83606493, 330.00977210, 0.14267004, 3.97514, 1.29349
101, 0.30000, 40.86180040, -77.83636753, 330.00061611, 4.78109598, 5.68268, 2.17776
