ID, time, latitude, longitude, altitude, ang_pos, speed, friction
5, 0.00000, 40.86201606, -77.83621346, 330.00924233, 5.80584184, 8.68058, 0.21485
9, 0.00000, 40.86197660, -77.83627859, 330.00766389, 5.56725601, 5.05795, -0.08479
77, 0.00000, 40.86171611, -77.83587768, 329.99724435, 1.95906368, 7.94797, 1.13302
89, 0.00000, 40.86195708, -77.83593665, 330.00688338, 0.78069348, 5.35125, 3.78811
92, 0.00000, 40.86198934, -77.83597397, 330.00817362, 0.53877454, 0.17903, 3.52454
98, 0.00000, 40.86202964, -77.83606652, 330.00978573, 0.14679088, 7.96680, 2.88889
4, 0.01000, 40.86201628, -77.83621292, 330.00925124, 5.70908610, 2.86139, 1.13833
13, 0.01000, 40.86195255, -77.83630354, 330.00670217, 5.39258964, 5.17227, 0.31283
41, 0.01000, 40.86161984, -77.83630567, 329.99339352, 3.95252899, 7.29898, 5.44986
48, 0.01000, 40.86154903, -77.83620058, 329.99056135, 3.52801928, 9.85012, 1.74884
61, 0.01000, 40.86156195, -77.83600509, 329.99107792, 2.61986241, 6.89654, 1.07221
80, 0.01000, 40.86174291, -77.83587157, 329.99831635, 1.85604260, 8.49157, 1.43073
27, 0.02000, 40.86184599, -77.83636045, 330.00243979, 5.01947445, 7.99681, 0.99590
40, 0.02000, 40.86164510, -77.83632519, 329.99440409, 4.20750350, 7.27787, 3.17826
49, 0.02000, 40.86154868, -77.83619957, 329.99054733, 3.38432101, 2.37697, 4.28671
36, 0.03000, 40.86169310, -77.83635050, 329.99632393, 4.42887395, 5.65000, 1.74614
56, 0.03000, 40.86153519, -77.83612769, 329.99000751, 3.12146618, 4.93844, 2.21331
67, 0.03000, 40.86158626, -77.83596633, 329.99205050, 2.58355967, 8.46975, -0.02482
3, 0.04000, 40.86202503, -77.83618788, 330.00960139, 6.15089776, 7.29986, -0.05498
23, 0.04000, 40.86189054, -77.83634463, 330.00422177, 5.20661353, 8.59280, 0.49662
46, 0.04000, 40.86155590, -77.83621806, 329.99083584, 3.68547226, 8.29035, 3.48757
98, 0.04000, 40.86202956, -77.83606614, 330.00978244, 0.34018857, 7.93551, 2.79856
74, 0.05000, 40.86165801, -77.83590266, 329.99492033, 2.16174383, 5.98048, 0.56207
91, 0.05000, 40.86198400, -77.83596668, 330.00796009, 0.66208008, 5.36792, 4.07345
41, 0.06000, 40.86162018, -77.83630598, 329.99340725, 4.02051591, 7.32201, 4.30229
73, 0.06000, 40.86164504, -77.83591085, 329.99440175, 2.27559623, 8.29514, -1.01853
14, 0.07000, 40.86194608, -77.83630919, 330.00644331, 5.51602807, 1.19831, 0.05815
36, 0.07000, 40.86169336, -77.83635060, 329.99633443, 4.30358417, 5.64093, 4.22292
17, 0.08000, 40.86192509, -77.83632506, 330.00560351, 5.13969278, 3.71846, -2.80807
38, 0.08000, 40.86165692, -77.83633270, 329.99487683, 4.10696103, 5.46482, 2.78763
77, 0.08000, 40.86171534, -77.83587790, 329.99721374, 2.00633697, 7.97868, 1.01474
46, 0.09000, 40.86155610, -77.83621852, 329.99084398, 3.38745714, 7.94788, 3.58361
59, 0.09000, 40.86153642, -77.83609137, 329.99005688, 2.97188959, 4.37839, 1.96222
76, 0.09000, 40.86167995, -77.83589114, 329.99579782, 2.01384834, 6.09075, 2.48169
33, 0.10000, 40.86176699, -77.83636735, 329.99927950, 4.58603059, 5.38087, 2.33920
42, 0.10000, 40.86160222, -77.83628857, 329.99268892, 3.86097178, 6.36604, 2.83768
46, 0.10000, 40.86155614, -77.83621861, 329.99084557, 3.41901437, 7.88302, 3.57289
15, 0.11000, 40.86193099, -77.83632095, 330.00583961, 5.41903878, 0.19592, 0.41367
55, 0.11000, 40.86153656, -77.83614589, 329.99006243, 3.29364863, 4.02048, 3.86231
69, 0.11000, 40.86160901, -77.83594044, 329.99296038, 2.36362937, 9.23633, 0.45704
82, 0.11000, 40.86178610, -77.83586800, 330.00004411, 1.56735887, 6.79455, 2.62346
67, 0.12000, 40.86158573, -77.83596704, 329.99202908, 2.60213114, 7.31619, 0.15204
71, 0.12000, 40.86162684, -77.83592439, 329.99367341, 2.21126111, 7.68789, 2.29095
76, 0.12000, 40.86167974, -77.83589124, 329.99578954, 2.03980045, 6.07643, 1.72950
